player,team,age,mp,per,pred_2027,delta,direction,age_group,tier
Kyle Kuzma,MIL,30.0,1806.0,14.1,13.145,-0.955,Fall,28-30,Bench
Jake LaRavia,LAL,24.0,2061.0,11.9,13.107,1.207,Rise,<=24,Bench
Pelle Larsson,MIA,24.0,1849.0,13.1,13.088,-0.012,Hold,<=24,Bench
Zaccharie Risacher,ATL,20.0,1503.0,11.8,12.995,1.195,Rise,<=24,Bench
Noah Clowney,BRK,21.0,1780.0,11.2,12.937,1.737,Rise,<=24,Bench
Donte DiVincenzo,MIN,29.0,2494.0,12.5,12.923,0.423,Hold,28-30,Bench
Quinten Post,GSW,25.0,1159.0,13.0,12.853,-0.147,Hold,25-27,Bench
Egor Dёmin,BRK,19.0,1308.0,11.3,12.849,1.549,Rise,<=24,Bench
Ryan Nembhard,DAL,22.0,1171.0,10.9,12.804,1.904,Rise,<=24,Bench
Alex Caruso,OKC,31.0,1020.0,12.8,12.795,-0.005,Hold,31+,Bench
Jared McCain,2TM,21.0,1160.0,11.6,12.758,1.158,Rise,<=24,Bench
De'Andre Hunter,2TM,28.0,1176.0,11.4,12.662,1.262,Rise,28-30,Bench
Tre Johnson,WAS,19.0,1443.0,10.6,12.609,2.009,Rise,<=24,Bench
Jericho Sims,MIL,27.0,1318.0,12.9,12.589,-0.311,Hold,25-27,Bench
Jordan Goodwin,PHO,27.0,1572.0,14.7,12.558,-2.142,Fall,25-27,Bench
Pat Spencer,GSW,29.0,1229.0,12.1,12.515,0.415,Hold,28-30,Bench
Dillon Brooks,PHO,30.0,1702.0,14.1,12.493,-1.607,Fall,28-30,Bench
Javonte Green,DET,32.0,1446.0,14.1,12.462,-1.638,Fall,31+,Bench
Derrick Jones Jr.,LAC,28.0,1350.0,13.3,12.429,-0.871,Fall,28-30,Bench
John Konchar,2TM,29.0,1115.0,13.6,12.426,-1.174,Fall,28-30,Bench
Jarred Vanderbilt,LAL,26.0,1128.0,11.2,12.385,1.185,Rise,25-27,Bench
Jordan Walsh,BOS,21.0,1212.0,13.1,12.372,-0.728,Fall,<=24,Bench
Khris Middleton,2TM,34.0,1439.0,10.9,12.346,1.446,Rise,31+,Bench
Corey Kispert,2TM,26.0,1080.0,13.1,12.325,-0.775,Fall,25-27,Bench
Miles McBride,NYK,25.0,1080.0,13.1,12.294,-0.806,Fall,25-27,Bench
Kevin Huerter,2TM,27.0,1549.0,13.2,12.291,-0.909,Fall,25-27,Bench
Ryan Dunn,PHO,23.0,1355.0,11.7,12.27,0.57,Rise,<=24,Bench
Caleb Love,POR,24.0,1013.0,10.7,12.248,1.548,Rise,<=24,Bench
Dennis Schröder,2TM,32.0,1697.0,12.9,12.22,-0.68,Fall,31+,Bench
Jaylen Wells,MEM,22.0,1821.0,11.5,12.207,0.707,Rise,<=24,Bench
Luke Kennard,2TM,29.0,1681.0,13.5,12.206,-1.294,Fall,28-30,Bench
Ja'Kobe Walter,TOR,21.0,1474.0,11.8,12.194,0.394,Hold,<=24,Bench
Kelly Oubre Jr.,PHI,30.0,1574.0,13.0,12.19,-0.81,Fall,28-30,Bench
Ousmane Dieng,2TM,22.0,1099.0,10.2,12.148,1.948,Rise,<=24,Bench
Gradey Dick,TOR,22.0,1067.0,10.7,12.142,1.442,Rise,<=24,Bench
Taylor Hendricks,2TM,22.0,1118.0,12.2,12.137,-0.063,Hold,<=24,Bench
Simone Fontecchio,MIA,30.0,1173.0,13.8,12.13,-1.67,Fall,28-30,Bench
Rui Hachimura,LAL,27.0,1927.0,11.6,12.127,0.527,Rise,25-27,Bench
Caris LeVert,DET,31.0,1154.0,10.9,12.066,1.166,Rise,31+,Bench
Jose Alvarado,2TM,27.0,1370.0,12.1,12.064,-0.036,Hold,25-27,Bench
Sam Merrill,CLE,29.0,1377.0,13.6,12.041,-1.559,Fall,28-30,Bench
Ziaire Williams,BRK,24.0,1281.0,12.4,11.985,-0.415,Hold,<=24,Below replacement
Hugo González,BOS,19.0,1084.0,10.2,11.979,1.779,Rise,<=24,Below replacement
Toumani Camara,POR,25.0,2731.0,11.3,11.97,0.67,Rise,25-27,Below replacement
Tristan Da Silva,ORL,24.0,1899.0,12.0,11.945,-0.055,Hold,<=24,Below replacement
Max Christie,DAL,22.0,2244.0,11.0,11.94,0.94,Rise,<=24,Below replacement
Davion Mitchell,MIA,27.0,2000.0,12.1,11.929,-0.171,Hold,25-27,Below replacement
Brook Lopez,LAC,37.0,1635.0,12.3,11.883,-0.417,Hold,31+,Below replacement
Jamir Watkins,WAS,24.0,1032.0,11.8,11.867,0.067,Hold,<=24,Below replacement
Jordan Clarkson,NYK,33.0,1279.0,11.6,11.854,0.254,Hold,31+,Below replacement
Walter Clayton,2TM,22.0,1410.0,10.3,11.816,1.516,Rise,<=24,Below replacement
Aaron Nesmith,IND,26.0,1335.0,10.8,11.812,1.012,Rise,25-27,Below replacement
Sam Hauser,BOS,28.0,1934.0,11.9,11.739,-0.161,Hold,28-30,Below replacement
Bub Carrington,WAS,20.0,2271.0,9.9,11.686,1.786,Rise,<=24,Below replacement
Jamal Shead,TOR,23.0,1852.0,10.5,11.668,1.168,Rise,<=24,Below replacement
Baylor Scheierman,BOS,25.0,1429.0,11.6,11.583,-0.017,Hold,25-27,Below replacement
Guerschon Yabusele,2TM,30.0,1007.0,11.1,11.537,0.437,Hold,28-30,Below replacement
Will Richard,GSW,23.0,1377.0,11.0,11.475,0.475,Hold,<=24,Below replacement
Kobe Sanders,LAC,23.0,1351.0,10.0,11.338,1.338,Rise,<=24,Below replacement
Keon Ellis,2TM,26.0,1478.0,10.8,11.312,0.512,Rise,25-27,Below replacement
Vít Krejčí,2TM,25.0,1392.0,11.1,11.249,0.149,Hold,25-27,Below replacement
Bruce Brown,DEN,29.0,1998.0,10.8,11.249,0.449,Hold,28-30,Below replacement
Nolan Traoré,BRK,19.0,1243.0,7.9,11.237,3.337,Rise,<=24,Below replacement
Duncan Robinson,DET,31.0,2113.0,12.4,11.15,-1.25,Fall,31+,Below replacement
Cody Williams,UTA,21.0,1631.0,9.6,11.119,1.519,Rise,<=24,Below replacement
Josh Okogie,HOU,27.0,1354.0,9.9,11.105,1.205,Rise,25-27,Below replacement
Nique Clifford,SAC,23.0,1882.0,9.0,10.917,1.917,Rise,<=24,Below replacement
Harrison Barnes,SAS,33.0,1986.0,11.8,10.914,-0.886,Fall,31+,Below replacement
Kris Dunn,LAC,31.0,2230.0,11.3,10.905,-0.395,Hold,31+,Below replacement
Marcus Smart,LAL,31.0,1769.0,9.9,10.89,0.99,Rise,31+,Below replacement
Tim Hardaway Jr.,DEN,33.0,2127.0,13.5,10.867,-2.633,Fall,31+,Below replacement
Isaac Okoro,CHI,25.0,1695.0,9.8,10.829,1.029,Rise,25-27,Below replacement
Draymond Green,GSW,35.0,1869.0,10.4,10.728,0.328,Hold,31+,Below replacement
Rayan Rupert,2TM,21.0,1072.0,8.2,10.703,2.503,Rise,<=24,Below replacement
Terance Mann,BRK,29.0,1529.0,10.2,10.656,0.456,Hold,28-30,Below replacement
Landry Shamet,NYK,28.0,1171.0,11.2,10.567,-0.633,Fall,28-30,Below replacement
Herbert Jones,NOP,27.0,1588.0,9.1,10.523,1.423,Rise,25-27,Below replacement
Klay Thompson,DAL,35.0,1497.0,11.4,10.452,-0.948,Fall,31+,Below replacement
Royce O'Neale,PHO,32.0,2213.0,11.6,10.428,-1.172,Fall,31+,Below replacement
Kentavious Caldwell-Pope,MEM,32.0,1088.0,11.0,10.422,-0.578,Fall,31+,Below replacement
Sidy Cissoko,POR,21.0,1435.0,7.1,10.387,3.287,Rise,<=24,Below replacement
